Domain ID,Domain Name,Domain Description,Proposal ID,Proposal Text,Sentiment,Sentiment Category,Rationale
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_000,Mandate all new municipal buildings to use traditional HVAC systems and explicitly prohibit energy efficiency considerations in procurement.,0.0,active_resistance,Actively opposes and prohibits energy efficiency measures
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_005,Remove all existing green building incentives and require standard energy systems regardless of efficiency ratings.,0.05,active_resistance,Deliberately dismantles existing environmental standards
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_010,Cap building inspections for energy efficiency at 10 minutes maximum and require approval if basic safety codes are met.,0.1,active_resistance,Creates systematic barriers to efficiency implementation
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_015,Mandate fixed temperature settings in all buildings year-round without adjustment for occupancy or seasons.,0.15,active_resistance,Enforces energy-wasteful practices
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_020,"Restrict solar panel installations to ground-level only, prohibiting rooftop installations in all zones.",0.2,minimal_acknowledgment,Actively limits renewable energy adoption
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_025,Record basic energy usage in municipal buildings annually with no requirement to act on findings.,0.25,minimal_acknowledgment,Minimal acknowledgment without actionable impact
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_030,Allow optional energy efficiency upgrades only during already planned renovations.,0.3,minimal_acknowledgment,Passive acceptance of efficiency when convenient
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_035,Require simple energy audits for new construction with no minimum performance standards.,0.35,minimal_acknowledgment,Basic acknowledgment without enforcement
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_040,Install basic energy monitoring systems in municipal buildings without mandating data utilization.,0.4,balanced_approach,Creates awareness without requiring action
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_045,Consider both energy efficiency and traditional cost metrics equally in building decisions.,0.45,balanced_approach,Balanced consideration without preference
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_050,Maintain current industry-standard energy codes for all new municipal buildings.,0.5,balanced_approach,Meets minimum requirements without exceeding them
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_055,Implement public energy rating disclosure with voluntary improvement targets.,0.55,balanced_approach,Creates transparency with market-driven incentives
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_060,Offer 10% tax reduction for buildings achieving LEED certification at any level.,0.6,supportive_measures,Positive encouragement with limited investment
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_065,Require all new municipal buildings to achieve LEED Silver certification minimum.,0.65,supportive_measures,Mandatory but moderate environmental standards
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_070,"Install smart meters and automated energy management in all buildings over 10,000 square feet.",0.7,supportive_measures,Proactive efficiency management with specific requirements
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_075,Mandate solar-ready roofs and EV charging infrastructure in all new construction.,0.75,supportive_measures,Forward-looking infrastructure requirements
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_080,Require 40% energy reduction in all municipal buildings within 5 years.,0.8,proactive_action,Aggressive efficiency targets with timeline
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_085,Mandate net-zero energy certification for all new construction with on-site generation.,0.85,proactive_action,Comprehensive sustainability requirement
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_090,Require 75% energy reduction in existing buildings through deep retrofits by 2030.,0.9,proactive_action,Transformative efficiency requirement
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_095,Mandate carbon-negative operations for all municipal buildings by 2028.,0.95,proactive_action,Maximum climate action with specific timeline
building,Building,"Energy and water consumption in buildings, green building standards, weather resilience",BLD_100,"Require all buildings over 5,000 square feet to achieve net-zero carbon operations with on-site renewables by 2027.",1.0,proactive_action,Comprehensive climate-first approach with deadline
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_000,Remove all environmental criteria from municipal procurement and explicitly prohibit consideration of sustainability in business licensing or permitting processes.,0.0,active_resistance,Actively prevents integration of climate considerations in business operations by removing existing frameworks and blocking new initiatives
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_005,Eliminate green business certification programs and redirect all sustainable business development funds to traditional economic growth initiatives.,0.05,active_resistance,Deliberately dismantles support systems for sustainable business practices while reinforcing traditional models
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_010,Require business improvement districts to exclude all climate-related projects from their development plans.,0.1,active_resistance,Systematically prevents community-level business climate initiatives
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_015,Mandate that business assistance programs prioritize rapid development over any environmental considerations.,0.15,active_resistance,Enforces business practices that ignore climate impacts
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_020,Cap sustainable business training programs at 5% of economic development budget regardless of demand.,0.2,minimal_acknowledgment,Actively limits resources for business climate adaptation
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_025,Record business sector emissions data without implementing any reduction incentives or requirements.,0.25,minimal_acknowledgment,Provides basic monitoring without encouraging improvement
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_030,Allow optional sustainability sections in business license applications without affecting approval decisions.,0.3,minimal_acknowledgment,Permits but doesn't encourage business climate initiatives
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_035,Conduct annual business climate impact surveys with voluntary reporting mechanisms.,0.35,minimal_acknowledgment,Creates awareness without requiring action
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_040,Provide basic green business guidelines in standard business welcome packets.,0.4,balanced_approach,Offers fundamental information without meaningful support
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_045,Consider both environmental and traditional economic metrics in business development programs.,0.45,balanced_approach,Balances climate and economic factors without preference
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_050,Maintain current mix of traditional and green business support services with equal funding.,0.5,balanced_approach,Takes neutral approach to business sustainability
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_055,Create public recognition program for businesses achieving voluntary sustainability targets.,0.55,balanced_approach,Encourages climate action through positive recognition
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_060,Offer 15% reduction in business license fees for companies meeting basic sustainability criteria.,0.6,supportive_measures,Provides modest incentives for climate-friendly practices
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_065,Require all businesses over 50 employees to submit annual carbon footprint reports with reduction plans.,0.65,supportive_measures,Sets mandatory but achievable climate accountability measures
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_070,Implement green business certification program with 20% tax incentives for certified companies.,0.7,supportive_measures,Creates substantial benefits for verified climate action
business,Business,"Economic development, green business practices, and sustainable commerce initiatives",BUS_075,Mandate all businesses with over $1M revenue to achieve 30% emissions reduction within 5 years.,0.75,supportive_measures,Strong requirements with specific timeline
